race_id,bet_type,combo,odds,fetched_at
012026062907,3t,6-5-4,0.0,2026-06-29 08:44:09
022026062907,2t,1-2,7.5,2026-06-29 08:44:09
022026062907,2t,1-3,7.5,2026-06-29 08:44:09
022026062907,2t,1-4,7.5,2026-06-29 08:44:09
022026062907,2t,1-5,15.0,2026-06-29 08:44:09
022026062907,2t,1-6,7.5,2026-06-29 08:44:09
022026062907,2t,2-1,7.5,2026-06-29 08:44:09
022026062907,2t,2-3,15.0,2026-06-29 08:44:09
022026062907,2t,2-4,15.0,2026-06-29 08:44:09
022026062907,2t,2-5,0.0,2026-06-29 08:44:09
022026062907,2t,2-6,0.0,2026-06-29 08:44:09
022026062907,2t,3-1,15.0,2026-06-29 08:44:09
022026062907,2t,3-2,15.0,2026-06-29 08:44:09
022026062907,2t,3-4,15.0,2026-06-29 08:44:09
022026062907,2t,3-5,15.0,2026-06-29 08:44:09
022026062907,2t,3-6,15.0,2026-06-29 08:44:09
022026062907,2t,4-1,15.0,2026-06-29 08:44:09
022026062907,2t,4-2,15.0,2026-06-29 08:44:09
022026062907,2t,4-3,0.0,2026-06-29 08:44:09
022026062907,2t,4-5,0.0,2026-06-29 08:44:09
022026062907,2t,4-6,0.0,2026-06-29 08:44:09
022026062907,2t,5-1,0.0,2026-06-29 08:44:09
022026062907,2t,5-2,0.0,2026-06-29 08:44:09
022026062907,2t,5-3,0.0,2026-06-29 08:44:09
022026062907,2t,5-4,0.0,2026-06-29 08:44:09
022026062907,2t,5-6,0.0,2026-06-29 08:44:09
022026062907,2t,6-1,0.0,2026-06-29 08:44:09
022026062907,2t,6-2,0.0,2026-06-29 08:44:09
022026062907,2t,6-3,0.0,2026-06-29 08:44:09
022026062907,2t,6-4,0.0,2026-06-29 08:44:09
022026062907,2t,6-5,0.0,2026-06-29 08:44:09
022026062907,3t,1-2-3,36.9,2026-06-29 08:44:09
022026062907,3t,1-2-4,66.4,2026-06-29 08:44:09
022026062907,3t,1-2-5,55.3,2026-06-29 08:44:09
022026062907,3t,1-2-6,13.2,2026-06-29 08:44:09
022026062907,3t,1-3-2,66.4,2026-06-29 08:44:09
022026062907,3t,1-3-4,110.7,2026-06-29 08:44:09
022026062907,3t,1-3-5,55.3,2026-06-29 08:44:09
022026062907,3t,1-3-6,41.5,2026-06-29 08:44:09
022026062907,3t,1-4-2,83.0,2026-06-29 08:44:09
022026062907,3t,1-4-3,110.7,2026-06-29 08:44:09
022026062907,3t,1-4-5,41.5,2026-06-29 08:44:09
022026062907,3t,1-4-6,66.4,2026-06-29 08:44:09
022026062907,3t,1-5-2,83.0,2026-06-29 08:44:09
022026062907,3t,1-5-3,66.4,2026-06-29 08:44:09
022026062907,3t,1-5-4,332.2,2026-06-29 08:44:09
022026062907,3t,1-5-6,83.0,2026-06-29 08:44:09
022026062907,3t,1-6-2,20.7,2026-06-29 08:44:09
022026062907,3t,1-6-3,36.9,2026-06-29 08:44:09
022026062907,3t,1-6-4,30.2,2026-06-29 08:44:09
022026062907,3t,1-6-5,33.2,2026-06-29 08:44:09
022026062907,3t,2-1-3,332.2,2026-06-29 08:44:09
022026062907,3t,2-1-4,166.1,2026-06-29 08:44:09
022026062907,3t,2-1-5,166.1,2026-06-29 08:44:09
022026062907,3t,2-1-6,166.1,2026-06-29 08:44:09
022026062907,3t,2-3-1,66.4,2026-06-29 08:44:09
022026062907,3t,2-3-4,30.2,2026-06-29 08:44:09
022026062907,3t,2-3-5,166.1,2026-06-29 08:44:09
022026062907,3t,2-3-6,30.2,2026-06-29 08:44:09
022026062907,3t,2-4-1,110.7,2026-06-29 08:44:09
022026062907,3t,2-4-3,110.7,2026-06-29 08:44:09
022026062907,3t,2-4-5,110.7,2026-06-29 08:44:09
